,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,Hourly,Employer_Provided,Min_Salary,Max_Salary,Avg_Salary,Company_txt,Job_State,Age,job_simp,seniority,num_comp,Min_Salary_hr,Max_Salary_hr
362,"Sr Data Analyst, AMERICAS",$160K - $175K (Employer est.),Data Science,-1.0,Smart AdServer,"New York, NY",-1,-1,-1.0,-1,-1,-1,-1,-1,0,0,160,175,167.5,Smart AdServer,NY,-1.0,analyst,senior,0,160,175
363,Data Scientist - Remote,$160K - $175K (Employer est.),Data Science,-1.0,Emerald Resource Group,Remote,-1,-1,-1.0,-1,-1,-1,-1,-1,0,0,160,175,167.5,Emerald Resource Group,Remote,-1.0,data scientist,na,0,160,175
364,Data Scientist,$160K - $175K (Employer est.),Data Science,-1.0,Health Data Analytics Institute,"Dedham, MA",-1,-1,-1.0,-1,-1,-1,-1,-1,0,0,160,175,167.5,Health Data Analytics Institute,MA,-1.0,data scientist,na,0,160,175
365,"Staff Data Scientist, Partnerships",$160K - $175K (Employer est.),Data Science,3.6,"LegalZoom
3.6","New York, NY",-1,1001 to 5000 Employees,2001.0,Company - Public,IT Services,Information Technology,Unknown / Non-Applicable,-1,0,0,160,175,167.5,LegalZoom,NY,19.0,data scientist,na,0,160,175
366,Machine Learning Engineer / Data Scientist,$160K - $175K (Employer est.),Data Science,-1.0,Tiro L.L.C.,Remote,-1,-1,-1.0,-1,-1,-1,-1,-1,0,0,160,175,167.5,Tiro L.L.C.,Remote,-1.0,data scientist,na,0,160,175
367,Principal Data Scientist- Tableau,$160K - $175K (Employer est.),Data Science,4.0,"Northrop Grumman
4.0","Chandler, AZ",-1,10000+ Employees,1939.0,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),-1,0,0,160,175,167.5,Northrop Grumman,AZ,81.0,data scientist,senior,0,160,175
368,Energy / V2X - Applied Data Scientist - V2G,$160K - $175K (Employer est.),Data Science,4.0,"General Motors
4.0","Chandler, AZ",-1,10000+ Employees,1908.0,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$10+ billion (USD),-1,0,0,160,175,167.5,General Motors,AZ,112.0,data scientist,na,0,160,175
369,Data Scientist II,$160K - $175K (Employer est.),Data Science,4.0,"EDWARD JONES
4.0","Saint Louis, MO",-1,10000+ Employees,1922.0,Company - Private,Investment Banking & Asset Management,Finance,$5 to $10 billion (USD),-1,0,0,160,175,167.5,EDWARD JONES,MO,98.0,data scientist,na,0,160,175
370,Data Scientist/Principal Data Scientist,$160K - $175K (Employer est.),Data Science,4.0,"Northrop Grumman
4.0","Melbourne, FL",-1,10000+ Employees,1939.0,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),-1,0,0,160,175,167.5,Northrop Grumman,FL,81.0,data scientist,senior,0,160,175
371,Data Scientist,$160K - $175K (Employer est.),Data Science,-1.0,Cognitiv.ai,"Bellevue, WA",-1,-1,-1.0,-1,-1,-1,-1,-1,0,0,160,175,167.5,Cognitiv.ai,WA,-1.0,data scientist,na,0,160,175
372,Data Scientist (Python/NLP/ML) REMOTE,$160K - $175K (Employer est.),Data Science,-1.0,CyberCoders,"Denver, CO",-1,201 to 500 Employees,1999.0,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),-1,0,0,160,175,167.5,CyberCoders,CO,21.0,data scientist,na,0,160,175
373,Data Scientist,$160K - $175K (Employer est.),Data Science,4.5,"Propane Education & Research Council
4.5",Remote,-1,1 to 50 Employees,1996.0,Nonprofit Organization,Grantmaking Foundations,Non-Profit,$25 to $50 million (USD),-1,0,0,160,175,167.5,Propane Education & Research Council,Remote,24.0,data scientist,na,0,160,175
374,Data Scientist,$160K - $175K (Employer est.),Data Science,-1.0,"Vanu, Inc.","Lexington, MA",-1,-1,-1.0,-1,-1,-1,-1,-1,0,0,160,175,167.5,"Vanu, Inc.",MA,-1.0,data scientist,na,0,160,175
375,Jr. Data Scientist,$160K - $175K (Employer est.),Data Science,-1.0,Event Dynamic,"Dallas, TX",-1,-1,-1.0,-1,-1,-1,-1,-1,0,0,160,175,167.5,Event Dynamic,TX,-1.0,data scientist,jr,0,160,175
376,Data Scientist,$160K - $175K (Employer est.),Data Science,4.3,"Conversion Logix
4.3","Seattle, WA",-1,1 to 50 Employees,-1.0,Company - Public,Advertising & Marketing,Business Services,Unknown / Non-Applicable,-1,0,0,160,175,167.5,Conversion Logix,WA,-1.0,data scientist,na,0,160,175
377,Data Scientist,$160K - $175K (Employer est.),Data Science,-1.0,"Verinovum, Inc.",United States,-1,-1,-1.0,-1,-1,-1,-1,-1,0,0,160,175,167.5,"Verinovum, Inc.",Remote,-1.0,data scientist,na,0,160,175
378,Mathematical Statistician,$160K - $175K (Employer est.),Data Science,-1.0,National Security Agency,"Fort Meade, MD",-1,Unknown,-1.0,Government,Federal Agencies,Government,Unknown / Non-Applicable,-1,0,0,160,175,167.5,National Security Agency,MD,-1.0,na,na,0,160,175
379,Sr Data Scientist (REMOTE),$160K - $175K (Employer est.),Data Science,-1.0,Leonardo DRS,"Fort Walton Beach, FL",-1,5001 to 10000 Employees,1968.0,Subsidiary or Business Segment,Aerospace & Defense,Aerospace & Defense,$1 to $2 billion (USD),-1,0,0,160,175,167.5,Leonardo DRS,FL,52.0,data scientist,senior,0,160,175
380,Data Scientist (Clearance Required),$160K - $175K (Employer est.),Data Science,4.1,"LOCKHEED MARTIN CORPORATION
4.1","Annapolis Junction, MD",-1,10000+ Employees,1995.0,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),-1,0,0,160,175,167.5,LOCKHEED MARTIN CORPORATION,MD,25.0,data scientist,na,0,160,175
381,Data Scientist,$160K - $175K (Employer est.),Data Science,-1.0,Clock Foundation,"Torrance, CA",-1,-1,-1.0,-1,-1,-1,-1,-1,0,0,160,175,167.5,Clock Foundation,CA,-1.0,data scientist,na,0,160,175
382,Data Scientist,$160K - $175K (Employer est.),Data Science,-1.0,Event Dynamic,"Dallas, TX",-1,-1,-1.0,-1,-1,-1,-1,-1,0,0,160,175,167.5,Event Dynamic,TX,-1.0,data scientist,na,0,160,175
383,Data Scientist,$160K - $175K (Employer est.),Data Science,-1.0,Community Center for Education Results,"Seattle, WA",-1,-1,-1.0,-1,-1,-1,-1,-1,0,0,160,175,167.5,Community Center for Education Results,WA,-1.0,data scientist,na,0,160,175
384,Data Scientist,$160K - $175K (Employer est.),Data Science,-1.0,Alexander Technology Group,"Andover, MA",-1,51 to 200 Employees,2007.0,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),-1,0,0,160,175,167.5,Alexander Technology Group,MA,13.0,data scientist,na,0,160,175
385,Principal Data Scientist - Match Recommendations,$160K - $175K (Employer est.),Data Science,4.3,"Indeed
4.3","Seattle, WA",-1,10000+ Employees,2004.0,Company - Private,Internet,Information Technology,$2 to $5 billion (USD),-1,0,0,160,175,167.5,Indeed,WA,16.0,data scientist,senior,0,160,175
386,Data Scientist - III (Senior) Data Scientist - III (Senior),$160K - $175K (Employer est.),Data Science,3.4,"On-Board Companies
3.4","Cambridge, MA",-1,1001 to 5000 Employees,1976.0,Company - Private,Consulting,Business Services,$25 to $50 million (USD),-1,0,0,160,175,167.5,On-Board Companies,MA,44.0,data scientist,senior,0,160,175
387,Data Scientist,$160K - $175K (Employer est.),Data Science,3.9,"Leidos
3.9","Eglin AFB, FL",-1,10000+ Employees,1969.0,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),-1,0,0,160,175,167.5,Leidos,FL,51.0,data scientist,na,0,160,175
388,Data Scientist,$160K - $175K (Employer est.),Data Science,4.3,"American Capital Group
4.3","Bellevue, WA",-1,51 to 200 Employees,1986.0,,Real Estate,Real Estate,Unknown / Non-Applicable,-1,0,0,160,175,167.5,American Capital Group,WA,34.0,data scientist,na,0,160,175
389,Sr. Data Scientist,$160K - $175K (Employer est.),Data Science,3.7,"McKesson
3.7",United States,-1,10000+ Employees,1833.0,Company - Public,Health Care Services & Hospitals,Health Care,$10+ billion (USD),-1,0,0,160,175,167.5,McKesson,Remote,187.0,data scientist,senior,0,160,175
390,Data Scientist,$160K - $175K (Employer est.),Data Science,-1.0,"Cigent Technology, Inc.","Fort Myers, FL",-1,-1,-1.0,-1,-1,-1,-1,-1,0,0,160,175,167.5,"Cigent Technology, Inc.",FL,-1.0,data scientist,na,0,160,175
391,Data Scientist,$160K - $175K (Employer est.),Data Science,4.3,"Johns Hopkins Applied Physics Laboratory (APL)
4.3","Offutt A F B, NE",-1,5001 to 10000 Employees,1942.0,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense,$1 to $2 billion (USD),-1,0,0,160,175,167.5,Johns Hopkins Applied Physics Laboratory (APL),NE,78.0,data scientist,na,0,160,175
392,"Senior Data Scientist, Marketing Analytics",$160K - $175K (Employer est.),Data Science,3.6,"LegalZoom
3.6","Seattle, WA",-1,1001 to 5000 Employees,2001.0,Company - Public,,Information Technology,Unknown / Non-Applicable,-1,0,0,160,175,167.5,LegalZoom,WA,19.0,data scientist,senior,0,160,175
393,Energy / V2X - Applied Data Scientist - V2G,$160K - $175K (Employer est.),Data Science,4.0,"General Motors
4.0","Austin, TX",-1,10000+ Employees,1908.0,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$10+ billion (USD),-1,0,0,160,175,167.5,General Motors,TX,112.0,data scientist,na,0,160,175
394,Data Scientist - Remote,$160K - $175K (Employer est.),Data Science,-1.0,Emerald Resource Group,Remote,-1,-1,-1.0,-1,-1,-1,-1,-1,0,0,160,175,167.5,Emerald Resource Group,Remote,-1.0,data scientist,na,0,160,175
395,"Sr Data Analyst, AMERICAS",$160K - $175K (Employer est.),Data Science,-1.0,Smart AdServer,"New York, NY",-1,-1,-1.0,-1,-1,-1,-1,-1,0,0,160,175,167.5,Smart AdServer,NY,-1.0,analyst,senior,0,160,175
396,Data Scientist,$160K - $175K (Employer est.),Data Science,-1.0,Health Data Analytics Institute,"Dedham, MA",-1,-1,-1.0,-1,-1,-1,-1,-1,0,0,160,175,167.5,Health Data Analytics Institute,MA,-1.0,data scientist,na,0,160,175
397,"Staff Data Scientist, Partnerships",$160K - $175K (Employer est.),Data Science,3.6,"LegalZoom
3.6","New York, NY",-1,1001 to 5000 Employees,2001.0,Company - Public,IT Services,Information Technology,Unknown / Non-Applicable,-1,0,0,160,175,167.5,LegalZoom,NY,19.0,data scientist,na,0,160,175
398,"Data Scientist, Product",$160K - $175K (Employer est.),Data Science,-1.0,Ancera,"Atlanta, GA",-1,-1,-1.0,-1,-1,-1,-1,-1,0,0,160,175,167.5,Ancera,GA,-1.0,data scientist,na,0,160,175
399,Machine Learning Engineer / Data Scientist,$160K - $175K (Employer est.),Data Science,-1.0,Tiro L.L.C.,Remote,-1,-1,-1.0,-1,-1,-1,-1,-1,0,0,160,175,167.5,Tiro L.L.C.,Remote,-1.0,data scientist,na,0,160,175
400,Principal Data Scientist- Tableau,$160K - $175K (Employer est.),Data Science,4.0,"Northrop Grumman
4.0","Chandler, AZ",-1,10000+ Employees,1939.0,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),-1,0,0,160,175,167.5,Northrop Grumman,AZ,81.0,data scientist,senior,0,160,175
401,Data Scientist/Principal Data Scientist,$160K - $175K (Employer est.),Data Science,4.0,"Northrop Grumman
4.0","Melbourne, FL",-1,10000+ Employees,1939.0,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),-1,0,0,160,175,167.5,Northrop Grumman,FL,81.0,data scientist,senior,0,160,175
402,Data Scientist II,$160K - $175K (Employer est.),Data Science,4.0,"EDWARD JONES
4.0","Saint Louis, MO",-1,10000+ Employees,1922.0,Company - Private,Investment Banking & Asset Management,Finance,$5 to $10 billion (USD),-1,0,0,160,175,167.5,EDWARD JONES,MO,98.0,data scientist,na,0,160,175
403,Data Scientist,$160K - $175K (Employer est.),Data Science,-1.0,Cognitiv.ai,"Bellevue, WA",-1,-1,-1.0,-1,-1,-1,-1,-1,0,0,160,175,167.5,Cognitiv.ai,WA,-1.0,data scientist,na,0,160,175
404,Data Scientist,$160K - $175K (Employer est.),Data Science,-1.0,"Vanu, Inc.","Lexington, MA",-1,-1,-1.0,-1,-1,-1,-1,-1,0,0,160,175,167.5,"Vanu, Inc.",MA,-1.0,data scientist,na,0,160,175
405,Data Scientist,$160K - $175K (Employer est.),Data Science,4.5,"Propane Education & Research Council
4.5",Remote,-1,1 to 50 Employees,1996.0,Nonprofit Organization,Grantmaking Foundations,Non-Profit,$25 to $50 million (USD),-1,0,0,160,175,167.5,Propane Education & Research Council,Remote,24.0,data scientist,na,0,160,175
406,Product Data Scientist,$160K - $175K (Employer est.),Data Science,3.6,"Wework
3.6","New York, NY",-1,10000+ Employees,2010.0,Company - Private,Membership Organizations,Business Services,Unknown / Non-Applicable,-1,0,0,160,175,167.5,Wework,NY,10.0,data scientist,na,0,160,175
407,Data Scientist (Python/NLP/ML) REMOTE,$160K - $175K (Employer est.),Data Science,-1.0,CyberCoders,"Denver, CO",-1,201 to 500 Employees,1999.0,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),-1,0,0,160,175,167.5,CyberCoders,CO,21.0,data scientist,na,0,160,175
408,Jr. Data Scientist,$160K - $175K (Employer est.),Data Science,-1.0,Event Dynamic,"Dallas, TX",-1,-1,-1.0,-1,-1,-1,-1,-1,0,0,160,175,167.5,Event Dynamic,TX,-1.0,data scientist,jr,0,160,175
409,Data Scientist,$160K - $175K (Employer est.),Data Science,3.8,"Insurity
3.8",Remote,-1,501 to 1000 Employees,1971.0,Company - Private,Computer Hardware & Software,Information Technology,$100 to $500 million (USD),-1,0,0,160,175,167.5,Insurity,Remote,49.0,data scientist,na,0,160,175
410,Sr. Data Analyst - Marketing,$160K - $175K (Employer est.),Data Science,3.8,"Visionworks
3.8",Remote,-1,5001 to 10000 Employees,1984.0,Subsidiary or Business Segment,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1,0,0,160,175,167.5,Visionworks,Remote,36.0,analyst,senior,0,160,175
411,Data Scientist,$160K - $175K (Employer est.),Data Science,-1.0,Clock Foundation,"Torrance, CA",-1,-1,-1.0,-1,-1,-1,-1,-1,0,0,160,175,167.5,Clock Foundation,CA,-1.0,data scientist,na,0,160,175
412,Data Scientist,$160K - $175K (Employer est.),Data Science,4.3,"Conversion Logix
4.3","Seattle, WA",-1,1 to 50 Employees,-1.0,Company - Public,Advertising & Marketing,Business Services,Unknown / Non-Applicable,-1,0,0,160,175,167.5,Conversion Logix,WA,-1.0,data scientist,na,0,160,175
413,Mathematical Statistician,$160K - $175K (Employer est.),Data Science,-1.0,National Security Agency,"Fort Meade, MD",-1,Unknown,-1.0,Government,Federal Agencies,Government,Unknown / Non-Applicable,-1,0,0,160,175,167.5,National Security Agency,MD,-1.0,na,na,0,160,175
414,Data Scientist,$160K - $175K (Employer est.),Data Science,-1.0,Community Center for Education Results,"Seattle, WA",-1,-1,-1.0,-1,-1,-1,-1,-1,0,0,160,175,167.5,Community Center for Education Results,WA,-1.0,data scientist,na,0,160,175
415,Data Scientist,$160K - $175K (Employer est.),Data Science,4.3,"American Capital Group
4.3","Bellevue, WA",-1,51 to 200 Employees,1986.0,Company - Private,Real Estate,Real Estate,Unknown / Non-Applicable,-1,0,0,160,175,167.5,American Capital Group,WA,34.0,data scientist,na,0,160,175
416,Sr. Data Scientist,$160K - $175K (Employer est.),Data Science,3.7,"McKesson
3.7",United States,-1,10000+ Employees,1833.0,Company - Public,Health Care Services & Hospitals,Health Care,$10+ billion (USD),-1,0,0,160,175,167.5,McKesson,Remote,187.0,data scientist,senior,0,160,175
417,Data Scientist,$160K - $175K (Employer est.),Data Science,4.3,"Johns Hopkins Applied Physics Laboratory (APL)
4.3","Offutt A F B, NE",-1,5001 to 10000 Employees,1942.0,Nonprofit Organization,Aerospace & Defense,,$1 to $2 billion (USD),-1,0,0,160,175,167.5,Johns Hopkins Applied Physics Laboratory (APL),NE,78.0,data scientist,na,0,160,175
418,"Sr Data Analyst, AMERICAS",$160K - $175K (Employer est.),Data Science,-1.0,Smart AdServer,"New York, NY",-1,-1,-1.0,-1,-1,-1,-1,-1,0,0,160,175,167.5,Smart AdServer,NY,-1.0,analyst,senior,0,160,175
419,Data Scientist,$160K - $175K (Employer est.),Data Science,-1.0,"Cigent Technology, Inc.","Fort Myers, FL",-1,-1,-1.0,-1,-1,-1,-1,-1,0,0,160,175,167.5,"Cigent Technology, Inc.",FL,-1.0,data scientist,na,0,160,175
420,"Senior Data Scientist, Marketing Analytics",$160K - $175K (Employer est.),Data Science,3.6,"LegalZoom
3.6","Seattle, WA",-1,1001 to 5000 Employees,2001.0,Company - Public,IT Services,Information Technology,Unknown / Non-Applicable,-1,0,0,160,175,167.5,LegalZoom,WA,19.0,data scientist,senior,0,160,175
421,Data Scientist Advisor [HYBRID],$160K - $175K (Employer est.),Data Science,4.2,"Southern California Edison
4.2","Pomona, CA",-1,10000+ Employees,1879.0,Subsidiary or Business Segment,Utilities,"Oil, Gas, Energy & Utilities",$10+ billion (USD),-1,0,0,160,175,167.5,Southern California Edison,CA,141.0,data scientist,na,0,160,175
422,Data Scientist - Remote,$160K - $175K (Employer est.),Data Science,-1.0,Emerald Resource Group,Remote,-1,-1,-1.0,-1,-1,-1,-1,-1,0,0,160,175,167.5,Emerald Resource Group,Remote,-1.0,data scientist,na,0,160,175
423,Data Scientist,$160K - $175K (Employer est.),Data Science,-1.0,Health Data Analytics Institute,"Dedham, MA",-1,-1,-1.0,-1,-1,-1,-1,-1,0,0,160,175,167.5,Health Data Analytics Institute,MA,-1.0,data scientist,na,0,160,175
424,Principal Data Scientist- Tableau,$160K - $175K (Employer est.),Data Science,4.0,"Northrop Grumman
4.0","Chandler, AZ",-1,10000+ Employees,1939.0,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),-1,0,0,160,175,167.5,Northrop Grumman,AZ,81.0,data scientist,senior,0,160,175
425,"Staff Data Scientist, Partnerships",$160K - $175K (Employer est.),Data Science,3.6,"LegalZoom
3.6","New York, NY",-1,1001 to 5000 Employees,2001.0,Company - Public,IT Services,Information Technology,Unknown / Non-Applicable,-1,0,0,160,175,167.5,LegalZoom,NY,19.0,data scientist,na,0,160,175
426,Energy / V2X - Applied Data Scientist - V2G,$160K - $175K (Employer est.),Data Science,4.0,"General Motors
4.0","Chandler, AZ",-1,10000+ Employees,1908.0,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$10+ billion (USD),-1,0,0,160,175,167.5,General Motors,AZ,112.0,data scientist,na,0,160,175
427,"Data Scientist, Product",$160K - $175K (Employer est.),Data Science,-1.0,Ancera,"Atlanta, GA",-1,-1,-1.0,-1,-1,-1,-1,-1,0,0,160,175,167.5,Ancera,GA,-1.0,data scientist,na,0,160,175
428,Machine Learning Engineer / Data Scientist,$160K - $175K (Employer est.),Data Science,-1.0,Tiro L.L.C.,Remote,-1,-1,-1.0,-1,-1,-1,-1,-1,0,0,160,175,167.5,Tiro L.L.C.,Remote,-1.0,data scientist,na,0,160,175
429,Data Scientist II,$160K - $175K (Employer est.),Data Science,4.0,"EDWARD JONES
4.0","Saint Louis, MO",-1,10000+ Employees,1922.0,Company - Private,Investment Banking & Asset Management,Finance,$5 to $10 billion (USD),-1,0,0,160,175,167.5,EDWARD JONES,MO,98.0,data scientist,na,0,160,175
430,Data Scientist/Principal Data Scientist,$160K - $175K (Employer est.),Data Science,4.0,"Northrop Grumman
4.0","Melbourne, FL",-1,10000+ Employees,1939.0,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),-1,0,0,160,175,167.5,Northrop Grumman,FL,81.0,data scientist,senior,0,160,175
431,Data Scientist,$160K - $175K (Employer est.),Data Science,-1.0,"Vanu, Inc.","Lexington, MA",-1,-1,-1.0,-1,-1,-1,-1,-1,0,0,160,175,167.5,"Vanu, Inc.",MA,-1.0,data scientist,na,0,160,175
432,Data Scientist,$160K - $175K (Employer est.),Data Science,-1.0,Cognitiv.ai,"Bellevue, WA",-1,-1,-1.0,-1,-1,-1,-1,-1,0,0,160,175,167.5,Cognitiv.ai,WA,-1.0,data scientist,na,0,160,175
433,Product Data Scientist,$160K - $175K (Employer est.),Data Science,3.6,"Wework
3.6","New York, NY",-1,10000+ Employees,2010.0,Company - Private,Membership Organizations,Business Services,Unknown / Non-Applicable,-1,0,0,160,175,167.5,Wework,NY,10.0,data scientist,na,0,160,175
434,Data Scientist,$160K - $175K (Employer est.),Data Science,4.5,"Propane Education & Research Council
4.5",Remote,-1,1 to 50 Employees,1996.0,Nonprofit Organization,Grantmaking Foundations,Non-Profit,$25 to $50 million (USD),-1,0,0,160,175,167.5,Propane Education & Research Council,Remote,24.0,data scientist,na,0,160,175
435,Data Scientist,$160K - $175K (Employer est.),Data Science,-1.0,Clock Foundation,"Torrance, CA",-1,-1,-1.0,-1,-1,-1,-1,-1,0,0,160,175,167.5,Clock Foundation,CA,-1.0,data scientist,na,0,160,175
436,Data Scientist (Python/NLP/ML) REMOTE,$160K - $175K (Employer est.),Data Science,-1.0,CyberCoders,"Denver, CO",-1,201 to 500 Employees,1999.0,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),-1,0,0,160,175,167.5,CyberCoders,CO,21.0,data scientist,na,0,160,175
437,Data Scientist,$160K - $175K (Employer est.),Data Science,5.0,"Warman O'Brien
5.0","San Francisco, CA",-1,1 to 50 Employees,2017.0,Company - Private,Staffing & Outsourcing,Business Services,$5 to $10 million (USD),-1,0,0,160,175,167.5,Warman O'Brien,CA,3.0,data scientist,na,0,160,175
438,Jr. Data Scientist,$160K - $175K (Employer est.),Data Science,-1.0,Event Dynamic,"Dallas, TX",-1,-1,-1.0,-1,-1,-1,-1,-1,0,0,160,175,167.5,Event Dynamic,TX,-1.0,data scientist,jr,0,160,175
439,Data Scientist,$160K - $175K (Employer est.),Data Science,-1.0,Community Center for Education Results,"Seattle, WA",-1,-1,-1.0,-1,-1,-1,-1,-1,0,0,160,175,167.5,Community Center for Education Results,WA,-1.0,data scientist,na,0,160,175
440,Data Scientist,$160K - $175K (Employer est.),Data Science,4.3,"Conversion Logix
4.3","Seattle, WA",-1,1 to 50 Employees,-1.0,Company - Public,Advertising & Marketing,Business Services,Unknown / Non-Applicable,-1,0,0,160,175,167.5,Conversion Logix,WA,-1.0,data scientist,na,0,160,175
441,Data Scientist,$160K - $175K (Employer est.),Data Science,-1.0,Event Dynamic,"Dallas, TX",-1,-1,-1.0,-1,-1,-1,-1,-1,0,0,160,175,167.5,Event Dynamic,TX,-1.0,data scientist,na,0,160,175
442,Principal Data Scientist - Match Recommendations,$160K - $175K (Employer est.),Data Science,4.3,"Indeed
4.3","Seattle, WA",-1,10000+ Employees,2004.0,Company - Private,Internet,Information Technology,$2 to $5 billion (USD),-1,0,0,160,175,167.5,Indeed,WA,16.0,data scientist,senior,0,160,175
443,Data Scientist,$160K - $175K (Employer est.),Data Science,4.3,"American Capital Group
4.3","Bellevue, WA",-1,51 to 200 Employees,1986.0,Company - Private,Real Estate,Real Estate,Unknown / Non-Applicable,-1,0,0,160,175,167.5,American Capital Group,WA,34.0,data scientist,na,0,160,175
444,Sr. Data Scientist,$160K - $175K (Employer est.),Data Science,3.7,"McKesson
3.7",United States,-1,10000+ Employees,1833.0,Company - Public,Health Care Services & Hospitals,Health Care,$10+ billion (USD),-1,0,0,160,175,167.5,McKesson,Remote,187.0,data scientist,senior,0,160,175
445,Data Scientist - Remote,$160K - $175K (Employer est.),Data Science,-1.0,Emerald Resource Group,Remote,-1,-1,-1.0,-1,-1,-1,-1,-1,0,0,160,175,167.5,Emerald Resource Group,Remote,-1.0,data scientist,na,0,160,175
446,Data Scientist,$160K - $175K (Employer est.),Data Science,-1.0,Health Data Analytics Institute,"Dedham, MA",-1,-1,-1.0,-1,-1,-1,-1,-1,0,0,160,175,167.5,Health Data Analytics Institute,MA,-1.0,data scientist,na,0,160,175
447,"Senior Data Scientist, Marketing Analytics",$160K - $175K (Employer est.),Data Science,3.6,"LegalZoom
3.6","Seattle, WA",-1,1001 to 5000 Employees,2001.0,Company - Public,IT Services,Information Technology,Unknown / Non-Applicable,-1,0,0,160,175,167.5,LegalZoom,WA,19.0,data scientist,senior,0,160,175
448,Principal Data Scientist- Tableau,$160K - $175K (Employer est.),Data Science,4.0,"Northrop Grumman
4.0","Chandler, AZ",-1,10000+ Employees,1939.0,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),-1,0,0,160,175,167.5,Northrop Grumman,AZ,81.0,data scientist,senior,0,160,175
449,Data Scientist Advisor [HYBRID],$160K - $175K (Employer est.),Data Science,4.2,"Southern California Edison
4.2","Pomona, CA",-1,10000+ Employees,1879.0,Subsidiary or Business Segment,Utilities,"Oil, Gas, Energy & Utilities",$10+ billion (USD),-1,0,0,160,175,167.5,Southern California Edison,CA,141.0,data scientist,na,0,160,175
450,"Staff Data Scientist, Partnerships",$160K - $175K (Employer est.),Data Science,3.6,"LegalZoom
3.6","New York, NY",-1,1001 to 5000 Employees,2001.0,Company - Public,IT Services,Information Technology,Unknown / Non-Applicable,-1,0,0,160,175,167.5,LegalZoom,NY,19.0,data scientist,na,0,160,175
451,Energy / V2X - Applied Data Scientist - V2G,$160K - $175K (Employer est.),Data Science,4.0,"General Motors
4.0","Chandler, AZ",-1,10000+ Employees,1908.0,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$10+ billion (USD),-1,0,0,160,175,167.5,General Motors,AZ,112.0,data scientist,na,0,160,175
452,Machine Learning Engineer / Data Scientist,$160K - $175K (Employer est.),Data Science,-1.0,Tiro L.L.C.,Remote,-1,-1,-1.0,-1,-1,-1,-1,-1,0,0,160,175,167.5,Tiro L.L.C.,Remote,-1.0,data scientist,na,0,160,175
453,Data Scientist II,$160K - $175K (Employer est.),Data Science,4.0,"EDWARD JONES
4.0","Saint Louis, MO",-1,10000+ Employees,1922.0,Company - Private,Investment Banking & Asset Management,Finance,$5 to $10 billion (USD),-1,0,0,160,175,167.5,EDWARD JONES,MO,98.0,data scientist,na,0,160,175
454,Data Scientist/Principal Data Scientist,$160K - $175K (Employer est.),Data Science,4.0,"Northrop Grumman
4.0","Melbourne, FL",-1,10000+ Employees,1939.0,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),-1,0,0,160,175,167.5,Northrop Grumman,FL,81.0,data scientist,senior,0,160,175
455,Data Scientist,$160K - $175K (Employer est.),Data Science,-1.0,Cognitiv.ai,"Bellevue, WA",-1,-1,-1.0,-1,-1,-1,-1,-1,0,0,160,175,167.5,Cognitiv.ai,WA,-1.0,data scientist,na,0,160,175
456,Data Scientist,$160K - $175K (Employer est.),Data Science,4.5,"Propane Education & Research Council
4.5",Remote,-1,1 to 50 Employees,1996.0,Nonprofit Organization,Grantmaking Foundations,Non-Profit,$25 to $50 million (USD),-1,0,0,160,175,167.5,Propane Education & Research Council,Remote,24.0,data scientist,na,0,160,175
457,Data Scientist,$160K - $175K (Employer est.),Data Science,-1.0,"Vanu, Inc.","Lexington, MA",-1,-1,-1.0,-1,-1,-1,-1,-1,0,0,160,175,167.5,"Vanu, Inc.",MA,-1.0,data scientist,na,0,160,175
458,Data Scientist,$160K - $175K (Employer est.),Data Science,-1.0,Event Dynamic,"Dallas, TX",-1,-1,-1.0,-1,-1,-1,-1,-1,0,0,160,175,167.5,Event Dynamic,TX,-1.0,data scientist,na,0,160,175
